"chunk","species","mass_mound_material_g","mass_termite_g","flux.CH4_A","flux.CH4_T","flux.CH4_M","flux.CO2_A","flux.CO2_T","flux.CO2_M","prop_T_CH4","prop_M_CH4","prop_T_CH4_A","prop_M_CH4_A","prop_T_CO2","prop_M_CO2","prop_T_CO2_A","prop_M_CO2_A"
2,"ami",835.6,3.17,2.81670042431861,3.1736510552301,0,0.0933367025302835,0.121523936345905,0.0183661045865994,1,0,1.12672651583025,0,0.868710420955121,0.131289579044879,1.30199517501141,0.196772588796357
6,"ami",1064.3,5.5,5.75596011062806,5.20094089679732,0.203544691417954,0.902184293473562,0.3108157023951,0.70138744776192,0.962337823258925,0.0376621767410746,0.903574867934556,0.0353624221686527,0.307068499388571,0.692931500611429,0.344514645891703,0.777432563208854
7,"ami",824.51,13.09,8.68814807866405,9.08319585182895,0.178082662934138,0.508023550869677,0.689085089090465,0.100464047221473,0.980771265797669,0.019228734202331,1.04546973297279,0.0204971947211012,0.872757701071335,0.127242298928665,1.3564038279541,0.197754704579128
9,"nas",546.46,2.17,1.49926016520881,1.08353036504759,0,0.146358296975845,0.423656624979713,0.0496338612258795,1,0,0.722710034049815,0,0.895130236773196,0.104869763226804,2.89465396724065,0.33912570897208
10,"nas",476.24,0.96,0.802951658208541,0.429956903687292,0.0683836194441738,0.207280463707073,0.144074858985452,0.0792932422438835,0.862777325402988,0.137222674597012,0.535470472340221,0.0851653007314835,0.645010895434564,0.354989104565436,0.695072060380262,0.382540837789421
11,"nas",1086.33,2.75,1.47367527287494,1.99413520216712,0,0.254290257432687,0.460456508587813,0.0371210683383355,1,0,1.35317137966007,0,0.925396420458382,0.0746035795416181,1.8107516710887,0.145979121312431
12,"cop",685.75,2.21,2.35885765136529,3.21868428482524,0.0856871387809841,0.804275947236958,0.251353155962105,0.718126860394148,0.974068551080898,0.0259314489191017,1.36450975876492,0.036325692960484,0.259265948468752,0.740734051531248,0.312521040602562,0.892886157868117
13,"cop",737.7,0.78,0.563724210403087,1.04303068193048,0.145099350091339,0.565796992203015,0.0808222432249553,0.822708870653005,0.877875866966829,0.122124133033171,1.85024993193865,0.257394214074266,0.089451532972745,0.910548467027255,0.142846717707462,1.45407077448338
14,"cop",610.2,0.79,1.21261525197382,1.15865466782997,0.433095349209127,0.784209850829081,0.0889179955564243,0.712459789952777,0.72791245825475,0.27208754174525,0.955500655252346,0.357158091574522,0.110956401792352,0.889043598207648,0.113385461126787,0.908506554973202
15,"cop",856.7,1.39,1.11974295640857,2.42952848763697,0.127394307681519,0.424215608005349,0.168573096039021,0.619962576295587,0.950176709318417,0.0498232906815832,2.16971982161814,0.113771028388623,0.213779923918887,0.786220076081113,0.397375987252443,1.46143273513824
16,"cop",461.17,0.61,1.54591353648281,1.22710193013315,0.463478259611781,0.779902177985716,0.0791932232087351,0.662804153979935,0.725846628025548,0.274153371974452,0.793771385769085,0.299808655965497,0.106729788599507,0.893270211400493,0.101542508078732,0.849855498149505
18,"nas",553.16,2.62,2.18628487433199,1.40142731167625,0,0.300323545048364,0.486130680589123,0.0495770097469872,1,0,0.641008556629403,0,0.907455109117657,0.0925448908823428,1.61868987165437,0.165078664541614
19,"ami",464.5,2.23,4.88691968046855,3.21070312123754,0.130749006567948,0.0673436348716118,0.151822706240982,0.0575415153586189,0.960870603089018,0.0391293969109824,0.656999363846656,0.0267548916530201,0.725160703586383,0.274839296413617,2.25444775189855,0.854446236356558
20,"ami",397.34,0.95,1.75962228551058,1.3036217074185,0.131891559526742,0.160810665050006,0.0373531339976979,0.0992048105963131,0.908122368100849,0.0918776318991507,0.74085314681056,0.0749544721118784,0.273533217776156,0.726466782223844,0.232280203468361,0.61690442338177
